entity_type,entity_id,term_code,course_code,class_nbr,status,reason,attempt_count,first_attempt_at,last_attempt_at,source_snapshot_id,raw_path
subject,GEYS,2420,,,data,,1,2026-08-14T18:05:32.600Z,2026-08-14T18:05:37.438Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/GEYS.json
subject,GLEF,2420,,,data,,1,2026-08-14T18:05:37.496Z,2026-08-14T18:05:42.512Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/GLEF.json
subject,GLSD,2420,,,data,,1,2026-08-14T18:05:45.528Z,2026-08-14T18:05:50.404Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/GLSD.json
subject,GPAD,2420,,,data,,1,2026-08-14T18:05:50.461Z,2026-08-14T18:05:55.599Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/GPAD.json
subject,GPSU,2420,,,school_approval_required,"Per confirmed project rule, this subject requires school approval; absence of public rows is not treated as a collection gap.",2,2026-08-14T18:05:55.655Z,2026-08-14T18:06:06.924Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/GPSU.json
subject,GRMD,2420,,,data,,1,2026-08-14T18:06:06.982Z,2026-08-14T18:06:12.229Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/GRMD.json
subject,GRON,2420,,,data,,1,2026-08-14T18:06:12.274Z,2026-08-14T18:06:17.559Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/GRON.json
subject,HIST,2420,,,data,,2,2026-08-14T18:06:17.612Z,2026-08-14T18:06:28.429Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/HIST.json
subject,HKSL,2420,,,data,,1,2026-08-14T18:06:28.473Z,2026-08-14T18:06:33.394Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/HKSL.json
subject,HTMG,2420,,,data,,1,2026-08-14T18:06:33.466Z,2026-08-14T18:06:38.773Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/HTMG.json
subject,IASP,2420,,,data,,1,2026-08-14T18:06:44.528Z,2026-08-14T18:06:49.352Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/IASP.json
subject,IBBA,2420,,,data,,1,2026-08-14T18:06:49.421Z,2026-08-14T18:06:54.524Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/IBBA.json
subject,IERG,2420,,,historical_fallback,Latest query was invalid/blank; records use the previous snapshot and may be stale.,2,2026-08-14T18:06:54.587Z,2026-08-14T18:07:05.604Z,2026-08-15T00-47-47+08-00,archive/legacy-snapshots/2026-08-15T00-47-47+08-00/raw/2420/IERG.json
subject,IMSC,2420,,,data,,1,2026-08-14T18:07:05.654Z,2026-08-14T18:07:10.646Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/IMSC.json
subject,ITAL,2420,,,data,,1,2026-08-14T18:07:10.689Z,2026-08-14T18:07:15.561Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/ITAL.json
